Time,Residential_Heating,Residential_Cooling,Residential_DHW,Office_Heating,Office_Cooling,Office_DHW,community_center_Heating,community_center_Cooling,community_center_DHW,Retail_Heating,Retail_Cooling,Retail_DHW,Grocery_Heating,Grocery_Cooling,Grocery_DHW,Hotel_Heating,Hotel_Cooling,Hotel_DHW
 08/25  23:00:00,0,0.000120954,0.000675938,0,1.89E-05,5.14E-05,0.002130571,0.000725423,0,0,0,0.000052879,0,0,0,0,0.004048055,0.000453766
 08/25  24:00:00,0,7.75E-06,0.000377025,0,0,5.14E-05,0.001308491,0.000290098,0,0,0,5.29E-05,0,0,0,0,0.003313699,0.000439211
 08/26  01:00:00,0,0,0.000244936,0,0,5.14E-05,0.001301638,6.69E-05,0,0,0,0,0,0,0,0,0.002759151,0.000214216
 08/26  02:00:00,0,0,0.000171123,0,0,5.14E-05,0.001301926,6.60E-05,0,0,0,5.27E-05,0,0,0,2.98E-06,0.002317538,0
 08/26  03:00:00,0,0,0.000171112,0,0,5.14E-05,0.001288283,6.55E-05,0,0,0,5.27E-05,0,0,0,2.94E-05,0.001983098,0.000214146
 08/26  04:00:00,0,0,0.00029398,0,0,5.14E-05,0.001272434,6.55E-05,0,0,0,0.000105419,0,0,0,4.71E-05,0.001762504,0.000353762
 08/26  05:00:00,0,0,0.000645918,0,0,5.14E-05,0.000863582,6.56E-05,0,0,0,5.27E-05,0,0,0,0,0.001655719,0.000437103
 08/26  06:00:00,0,0,0.0020408,0,0.002029788,5.14E-05,0.001854496,0.003484838,4.30E-05,0,0,5.27E-05,0,0.000123995,0,0,0.001906835,0.000447608
 08/26  07:00:00,0,0,0.002159788,0.000140774,0.002318082,0.00249177,0.002046799,0.002337734,0.000248332,0.000197626,4.94E-07,5.27E-05,0.00150627,0.003469189,0,9.68E-05,0.002611789,0.000711979
 08/26  08:00:00,0,5.88E-05,0.001990515,0.000513821,0.002187515,0.002697278,0.001769644,0.002137594,0.000248332,0.000174326,2.75E-06,0,0.001309148,0.001535866,0,0,0.003618203,0.003007409
 08/26  09:00:00,0,0.000304634,0.001911846,0.000616706,0.003044561,0.002979852,0.003273345,0.003648769,0.000165554,0.000157112,7.22E-06,0.000159068,0.000175908,0.00957416,0,0,0.001536135,0.002458193
 08/26  10:00:00,0,0.000746569,0.001601492,1.95E-05,0.002867544,0.001836721,0.003195707,0.005288096,0.000165554,0,1.54E-05,0.000106208,0.000044803,0.013597064,0,0,0.001470462,0.002431337
 08/26  11:00:00,0,0.001283538,0.001448685,1.32E-05,0.003543412,0.001836721,0.003155987,0.006542822,0.000413886,0,0.000156261,0.000106344,3.09E-05,0.020879896,0,0,0.001971972,0.002184221
 08/26  12:00:00,0,0.001669236,0.00106574,1.25E-05,0.004249951,0.002466085,0.003156128,0.007737036,0.000496663,0,0.000319871,0.000267468,4.50E-05,0.02823434,0,0,0.002486628,0.001901457
 08/26  13:00:00,0,0.002153112,0.001131642,0.000012214,0.00554036,0.002902786,0.00322291,0.009272423,0.000273165,0,0.000612768,0.000375255,4.90E-05,0.032541447,0,0,0.003537219,0.001897741
 08/26  14:00:00,0,0.002595222,0.000978419,8.73E-06,0.00579534,0.002517461,0.003308366,0.009855367,0.000273165,0,0.000756834,0.00010716,2.29E-05,0.047309642,0,0,0.00401023,0.002059885
 08/26  15:00:00,0,0.003007291,0.001105228,6.49E-06,0.006562022,0.001836721,0.003363014,0.010125862,0.000413886,0,0.000836076,0.00026713,7.79E-05,0.050124197,0,0,0.004262467,0.001963334
 08/26  16:00:00,0,0.003267612,0.00116861,0.000005143,0.006372036,0.001836721,0.002935684,0.010691164,0.000993328,0,0.000861847,0.000232547,0.000393345,0.048388064,0,1.34E-06,0.003815359,0.000216443
 08/26  17:00:00,0,0.003199673,0.001615937,7.20E-06,0.005004004,0.001682589,0.002502383,0.008526187,0.002069427,0,0.00079918,0.000141157,0.000331323,0.045923954,0,0,0.003409563,0.000218718
 08/26  18:00:00,0,0.002727539,0.001868111,1.52E-05,0.003745197,0.001913782,0.002073216,0.006173662,0.002483317,0,0.000201933,0.00026668,0.001076672,0.033521985,0,2.99E-07,0.003856109,0.00044181
 08/26  19:00:00,0,0.002071901,0.001801022,2.25E-05,0.003438008,0.001322949,0.001664019,0.003824648,0.002152204,0,0.000115752,0.000106067,0.000325909,0.011537734,0,0,0.003812421,0.000452002
 08/26  20:00:00,0,0.001554745,0.001582482,4.19E-06,0.000197949,0.001322949,0.000722805,0.000533587,0.001655543,0,8.39E-05,0.000105886,0,0.004509874,0,0,0.003681605,0.000680016
 08/26  21:00:00,0,0.000944675,0.001481696,0,0.002927372,0.001322949,0.00091162,7.50E-05,0.000496663,0,0.000041099,0,0,0.002900665,0,0,0.00310119,0.000590443
 08/26  22:00:00,0,0.000385571,0.001209626,0,0,0.001297263,0.001131352,7.04E-05,0,0,4.50E-06,0.000106049,0,0.001931489,0,4.26E-07,0.005877153,0.000943584
 08/26  23:00:00,0,0.000111306,0.000675693,0,0,5.14E-05,0.001539735,6.96E-05,0,0,0,0,0,0,0,0,0.004091384,0.00045204
 08/26  24:00:00,0,7.14E-06,0.000245568,0,0,5.14E-05,0.001275324,6.88E-05,0,0,0,0,0,0.001092357,0,0,0.003352233,0.000436631
 08/27  01:00:00,0,0,0.000385564,0,0,5.14E-05,0.000863667,6.81E-05,0,0,0,0,0,0,0,0,0.002778774,0
 08/27  02:00:00,0,0,0.000152906,0,0,5.14E-05,0.001184427,6.74E-05,0,0,0,0.000105407,0,0,0,0,0.002376289,0.000214216
 08/27  03:00:00,0,0,7.33E-05,0,0,5.14E-05,0.001353803,6.62E-05,0,0,0,0.000158111,0,0,0,4.36E-06,0.002072471,0.00021413
 08/27  04:00:00,0,0,0.000391877,0,0,5.14E-05,0.00134388,6.50E-05,0,0,0,0.000105417,0,0,0,2.20E-05,0.001871022,0.000216335
 08/27  05:00:00,0,0,0.000645914,0,0,5.14E-05,0.00129677,6.45E-05,0,0,0,0,0,0,0,0,0.001837384,0.000583809
 08/27  06:00:00,0,0,0.001910001,0,0,5.14E-05,0.002091654,0.003041513,4.30E-05,0,0,0,0,0,0,0,0.002718423,0.000944905
